"CO_CID","DS_CID"
"A171","Tuberculoma meníngeo"
"A178","Outras tuberculoses do sistema nervoso"
"A179","Tuberculose não especificada do sistema nervoso"
"A180","Tuberculose óssea e das articulações"
"A181","Tuberculose do aparelho geniturinário"
"A182","Linfadenopatia tuberculosa periférica"
"A183","Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
"A184","Tuberculose de pele e do tecido celular subcutâneo"
"A185","Tuberculose do olho"
"A186","Tuberculose do ouvido"
"A187","Tuberculose das supra-renais"
"A188","Tuberculose de outros órgãos especificados"
"A190","Tuberculose miliar aguda de localização única e especificada"
"A191","Tuberculose miliar aguda de múltiplas localizações"
"A192","Tuberculose miliar aguda não especificada"
"A198","Outras tuberculoses miliares"
"A199","Tuberculose miliar não especificada"
"A200","Peste bubônica"
"A201","Peste celulocutânea"
"A202","Peste pneumônica"
"A203","Peste meníngea"
"A207","Peste septicêmica"
"A208","Outras formas de peste"
"A209","Peste, forma não especificada"
"A210","Tularemia ulceroglandular"
"A211","Tularemia oculoglandular"
"A212","Tularemia pulmonar"
"A213","Tularemia gastrointestinal"
"A217","Tularemia generalizada"
"A218","Outras formas de tularemia"
"A219","Tularemia, forma não especificada"
"A220","Carbúnculo cutâneo"
"A221","Carbúnculo pulmonar"
"A222","Carbúnculo gastrointestinal"
"A227","Septicemia carbunculosa"
"A228","Outras formas de carbúnculo"
"A229","Carbúnculo, forma não especificada"
"A230","Brucelose por Brucella Melitensis"
"A231","Brucelose por Brucella Abortus"
"A232","Brucelose por Brucella Suis"
"A233","Brucelose por Brucella Canis"
"A238","Outras bruceloses"
"A239","Brucelose não especificada"
"A240","Mormo"
"A241","Melioidose aguda e fulminante"
"A242","Melioidose subaguda e crônica"
"A243","Outras melioidoses"
"A244","Melioidose não especificada"
"A250","Espirilose"
"A251","Estreptobacilose"
"A259","Febre transmitida por mordedura de rato, tipo não especificado"
"A260","Erisipelóide cutâneo"
"A267","Septicemia por Erysipelothrix"
"A268","Outras formas de erisipelóide"
"A269","Erisipelóide não especificado"
"A270","Leptopirose icterohemorrágica"
"A278","Outras formas de leptospirose"
"A279","Leptospirose não especificada"
"A280","Pasteurelose"
"A281","Doença por arranhadura do gato"
"A282","Yersiniose extra-intestinal"
"A288","Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte"
"A289","Doença bacteriana zoonótica não especificada"
"A300","Hanseníase [lepra] indeterminada"
"A301","Hanseníase [lepra] tuberculóide"
"A302","Hanseníase [lepra] tuberculóide borderline"
"A303","Hanseníase [lepra] dimorfa"
"A304","Hanseníase [lepra] lepromatosa borderline"
"A305","Hanseníase [lepra] lepromatosa"
"A308","Outras formas de hanseníase [lepra]"
"A309","Hanseníase [lepra] não especificada"
"A310","Infecção pulmonar micobacteriana"
"A311","Infecção cutânea micobacteriana"
"A318","Outras infecções micobacterianas"
"A319","Infecção micobacteriana não especificada"
"A320","Listeriose cutânea"
"A321","Meningite e meningoencefalite por listéria"
"A327","Septicemia listeriótica"
"A328","Outras formas de listeriose"
"A329","Listeriose não especificada"
"A33","Tétano do recém-nascido [neonatal]"
"A34","Tétano obstétrico"
"A35","Outros tipos de tétano"
"A360","Difteria faríngea"
"A361","Difteria nasofaríngea"
"A362","Difteria laríngea"
"A363","Difteria cutânea"
"A368","Outras formas de difteria"
"A369","Difteria não especificada"
"A370","Coqueluche por Bordetella Pertussis"
"A371","Coqueluche por Bordetella Parapertussis"
"A378","Coqueluche por outras espécies da Bordetella"
"A379","Coqueluche não especificada"
"A38","Escarlatina"
"A390","Meningite meningocócica"
"A391","Síndrome de Waterhouse-Friderichsen"
"A392","Meningococcemia aguda"
"A393","Meningococcemia crônica"
"A394","Meningococcemia não especificada"
"A395","Cardite por meningococos"
"A398","Outras infecções por meningococos"
"A399","Infecção meningocócica não especificada"
"A400","Septicemia por Streptococcus do grupo A"
"A401","Septicemia por Streptococcus do grupo B"
"A402","Septicemia por Streptococcus do grupo D"
"A403","Septicemia por Streptococcus pneumonia"
"A408","Outras septicemias estreptocócicas"
"A409","Septicemia estreptocócica não especificada"
"A410","Septicemia por staphylococcus aureus"
"A411","Septicemia por outros estafilococos especificados"
"A412","Septicemia por estafilococos não especificados"
"A413","Septicemia por Haemophilus Influenzae"
"A414","Septicemia por anaeróbios"
"A415","Septicemia por outros microorganismos gram-negativos"
"A418","Outras septicemias especificadas"
"A419","Septicemia não especificada"
"A420","Actinomicose pulmonar"
"A421","Actinomicose abdominal"
"A422","Actinomicose cervicofacial"
"A427","Septicemia actinomicótica"
"A428","Outras formas de actinomicose"
"A429","Actinomicose não especificada"
"A430","Nocardiose pulmonar"
"A431","Nocardiose cutânea"
"A438","Outras formas de nocardiose"
"A439","Nocardiose não especificada"
"A440","Bartonelose sistêmica"
"A441","Bartonelose cutânea e cutâneo-mucosa"
"A448","Outras formas de bartonelose"
"A449","Bartonelose não especificada"
"A46","Erisipela"
"A480","Gangrena gasosa"
"A481","Doença dos legionários"
"A482","Doença dos legionários não-pneumônica [febre de Pontiac]"
"A483","Síndrome do choque tóxico"
"A484","Febre purpúrica do brasil"
"A488","Outras doenças bacterianas especificadas"
"A490","Infecção estafilocócica de localização não especificada"
"A491","Infecção estreptocócica de localização não especificada"
"A492","Infecção por Haemophilus influenzae de localização não especificada"
"A493","Infecção por Mycoplasma de localização não especificada"
"A498","Outras infecções bacterianas de localização não especificada"
"A499","Infecção bacteriana não especificada"
"A500","Sífilis congênita precoce sintomática"
"A501","Sífilis congênita precoce, forma latente"
"A502","Sífilis congênita precoce não especificada"
"A503","Oculopatia sifilítica congênita tardia"
"A504","Neurossífilis congênita tardia [neurossífilis juvenil]"
"A505","Outras formas tardias e sintomáticas da sífilis congênita"
"A506","Sífilis congênita tardia latente"
"A507","Sífilis congênita tardia não especificada"
"A509","Sífilis congênita não especificada"
"A510","Sífilis genital primária"
"A511","Sífilis anal primária"
"A512","Sífilis primária de outras localizações"
"A513","Sífilis secundária da pele e das mucosas"
"A514","Outras formas de sífilis secundária"
"A515","Sífilis precoce latente"
"A519","Sífilis precoce não especificada"
"A520","Sífilis cardiovascular"
"A521","Neurossífilis sintomática"
"A522","Neurossífilis assintomática"
"A523","Neurossífilis não especificada"
"A527","Outras formas de sífilis tardia sintomática"
"A528","Sífilis tardia latente"
"A529","Sífilis tardia não especificada"
"A530","Sífilis latente, não especificada se recente ou tardia"
"A539","Sífilis não especificada"
"A540","Infecção gonocócica do trato genitur. inferior, sem abscesso periuretral ou das glândulas acessórias"
"A541","Infecção gonocócica do trato genitur. inferior, com abscesso periuretral ou das glândulas acessórias"
"A542","Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas"
"A543","Infecção gonocócica do olho"
"A544","Infecção gonocócica do sistema músculo-esquelético"
"A545","Faringite gonocócica"
"A546","Infecção gonocócica do ânus ou do reto"
"A548","Outras infecções gonocócicas"
"A549","Infecção gonocócica não especificada"
"A55","Linfogranuloma (venéreo) por clamídia"
"A560","Infecções por clamídias do trato geniturinário inferior"
"A561","Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
"A562","Infecção por clamídias do trato geniturinário, localização não especificada"
"A563","Infecção do ânus e do reto por clamídias"
"A564","Infecção da faringe por clamídias"
"A568","Infecção por clamídias transmitida por via sexual, de outras localizações"
"A57","Cancro mole"
"A58","Granuloma inguinal"
"A590","Tricomoníase urogenital"
"A598","Outras localizações de tricomoníase"
"A599","Tricomoníase não especificada"
"A600","Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes"
"A601","Infecção da margem cutânea do ânus e do reto pelo vírus do herpes"
"A609","Infecção anogenital não especificada pelo vírus do herpes"
"A630","Verrugas anogenitais (venéreas)"
"A638","Outras doenças especificadas de transmissão predominantemente sexual"
"A64","Doenças sexualmente transmitidas, não especificadas"
"A65","Sífilis não-venérea"
"A660","Lesões iniciais da bouba"
"A661","Papilomas múltiplos e bouba plantar úmida (cravo de bouba)"
"A662","Outras lesões cutâneas precoces da bouba"
"A663","Hiperceratose devida a bouba"
"A664","Gomas e úlceras devidas à bouba"
"A665","Gangosa"
"A666","Lesões osteoarticulares devidas à bouba"
"A667","Outras manifestações da bouba"
"A668","Bouba latente"
"A669","Bouba não especificada"
"A670","Lesões primárias da pinta"
"A671","Lesões intermediárias da pinta"
"A672","Lesões tardias da pinta"
"A673","Lesões mistas da pinta"
"A679","Pinta não especificada"
"A680","Febre recorrente transmitida por piolhos"
"A681","Febre recorrente transmitida por carrapatos"
"A689","Febre recorrente não especificada"
"A690","Estomatite ulcerativa necrotizante"
"A691","Outras infecções de vincent"
"A692","Doença de Lyme"
"A698","Outras infecções especificadas por espiroquetas"
"A699","Infecção por espiroqueta, não especificada"
"A70","Infecções causadas por clamídia psittaci"
"A710","Fase inicial do tracoma"
"A711","Fase ativa do tracoma"
"A719","Tracoma não especificado"
"A740","Conjuntivite causada por clamídias"
"A748","Outras doenças causadas por clamídias"
"A749","Infecção causada por clamídias não especificada"
"A750","Tifo epidêmico transmitido por piolhos devido a Rickettsia Prowazekii"
"A751","Tifo recrudescente [doença de Brill]"
"A752","Tifo por Rickettsia Typhi"
"A753","Tifo por Rickettsia Tsutsugamuchi"
"A759","Tifo não especificado"
"A770","Febre maculosa por Rickettsia Richettsii"
"A771","Febre maculosa por Rickettsia Conorii"
"A772","Febre maculosa devida à Rickettsia Siberica"
"A773","Febre maculosa devida à Rickettsia Australis"
"A778","Outras febres maculosas"
"A779","Febre maculosa não especificada"
"A78","Febre Q"
"A790","Febre das trincheiras"
"A791","Rickettsiose variceliforme devida à rickettsia akari"
"A798","Outros tipos de rickettsioses especificadas"
"A799","Rickettsiose não especificada"
"A800","Poliomielite paralítica aguda, associada ao vírus vacinal"
"A801","Poliomielite paralítica aguda, vírus selvagem importado"
"A802","Poliomielite paralítica aguda, vírus selvagem indígena"
"A803","Poliomielites paralíticas agudas, outras e não especificadas"
"A804","Poliomielite aguda não-paralítica"
"A809","Poliomielite aguda não especificada"
"A810","Doença de Creutzfeldt-Jakob"
"A811","Panencefalite esclerosante subaguda"
"A812","Leucoencefalopatia multifocal progressiva"
"A818","Outras infecções por vírus atípicos do sistema nervoso central"
"A819","Infecção não especificada do sistema nervosos central por vírus atípicos"
"A820","Raiva silvestre"
"A821","Raiva urbana"
"A829","Raiva não especificada"
"A830","Encefalite japonesa"
"A831","Encefalite eqüina ocidental"
"A832","Encefalite eqüina oriental"
"A833","Encefalite de St. Louis"
"A834","Encefalite australiana"
"A835","Encefalite da califórnia"
"A836","Doença pelo vírus de rocio"
"A838","Outras encefalites por vírus transmitidas por mosquitos"
"A839","Encefalite não especificada por vírus transmitida por mosquitos"
"A840","Encefalite da taiga [encefalite vernoestival russa]"
"A841","Encefalite da europa central transmitida por carrapatos"
"A848","Outras encefalites por vírus transmitidas por carrapatos"
"A849","Encefalite não especificada por vírus transmitida por carrapatos"
"A850","Encefalite por enterovírus"
"A851","Encefalite por adenovírus"
"A852","Encefalite por vírus transmitido por artrópodes, não especificada"
"A858","Outras encefalites virais especificadas"
"A86","Encefalite viral, não especificada"
"A870","Meningite por enterovírus"
"A871","Meningite por adenovírus"
"A872","Coriomeningite linfocitária"
"A878","Outras meningites virais"
"A879","Meningite viral não especificada"
"A880","Febre exantemática por enterovírus [exantema de boston]"
"A881","Vertigem epidêmica"
"A888","Outras infecções virais especificadas do sistema nervoso central"
"A89","Infecções virais não especificadas do sistema nervoso central"
"A90","Dengue [dengue clássico]"
"A91","Febre hemorrágica devida ao vírus do dengue"
"A920","Febre de Chikungunya"
"A921","Febre de O-Nyong-Nyong"
"A922","Febre eqüina venezuelana"
"A923","Infecção pelo vírus West Nile"
"A924","Febre do vale do Rift"
"A928","Outras febres virais especificadas transmitidas por mosquitos"
"A929","Febre viral transmitida por mosquitos, não especificada"
"A930","Febre de oropouche"
"A931","Febre por flebótomos"
"A932","Febre do colorado transmitida por carrapatos"
"A938","Outras febres virais especificadas transmitidas por artrópodes"
"A94","Febre viral transmitida por artrópodes, não especificada"
"A950","Febre amarela silvestre"
"A951","Febre amarela urbana"
"A959","Febre amarela não especificada"
"A960","Febre hemorrágica de Junin"
"A961","Febre hemorrágica de Machupo"
"A962","Febre de Lassa"
"A968","Outras febres hemorrágicas por arenavírus"
"A969","Febre hemorrágica por arenavírus, não especificada"
"A980","Febre hemorrágica da Criméia (do Congo)"
"A981","Febre hemorrágica de Omsk"
"A982","Doença da floresta de Kyasanur"
"A983","Doença de Marburg"
"A984","Doença pelo vírus ebola"
"A985","Febre hemorrágica com síndrome renal"
"A988","Outras febres hemorrágicas especificadas por vírus"
"A99","Febres hemorrágicas virais não especificadas"
"B000","Eczema herpético"
"B001","Dermatite vesicular devido ao vírus do herpes"
"B002","Gengivoestomatite e faringoamigdalite devida ao vírus do herpes"
"B003","Meningite devida ao vírus do herpes"
"B004","Encefalite devida ao vírus do herpes"
"B005","Afecções oculares devidas ao vírus do herpes"
"B007","Doença disseminada devida ao vírus do herpes"
"B008","Outras formas de infecção devida ao vírus do herpes"
"B009","Infecção não especificada devida ao vírus do herpes"
"B010","Meningite por varicela"
"B011","Encefalite por varicela"
"B012","Pneumopatia varicelosa"
"B018","Varicela com outras complicações"
"B019","Varicela sem complicação"
"B020","Encefalite pelo vírus do herpes zoster"
"B021","Meningite pelo vírus do herpes zoster"
"B022","Herpes Zoster acompanhado de outras manifestações neurológicas"
"B023","Herpes Zoster oftálmico"
"B027","Herpes Zoster disseminado"
"B028","Herpes Zoster com outras complicações"
"B029","Herpes Zoster sem complicação"
"B03","Varíola"
"B04","Varíola dos macacos [Monkeypox]"
"B050","Sarampo complicado por encefalite"
"B051","Sarampo complicado por meningite"
"B052","Sarampo complicado por pneumonia"
"B053","Sarampo complicado por otite média"
"B054","Sarampo com complicações intestinais"
"B058","Sarampo com outras complicações"
"B059","Sarampo sem complicação"
"B060","Rubéola com complicações neurológicas"
"B068","Rubéola com outras complicações"
"B069","Rubéola sem complicação"
"B07","Verrugas de origem viral"
"B080","Outras infecções por ortopoxvírus"
"B081","Molusco contagioso"
"B082","Exantema súbito [sexta doença]"
"B083","Eritema infeccioso [quinta doença]"
"B084","Estomatite vesicular devida a enterovírus com exantema"
"B085","Faringite vesicular devida a enterovírus"
"B088","Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas"
"B09","Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas"
"B150","Hepatite A com coma hepático"
"B159","Hepatite A sem coma hepático"
"B160","Hepatite aguda B com agente delta (co-infecção), com coma hepático"
"B161","Hepatite aguda B com agente delta, (co-infecção), sem coma hepático"
"B162","Hepatite aguda B sem agente delta, com coma hepático"
"B169","Hepatite aguda B sem agente delta e sem coma hepático"
"B170","(Super)Infecção delta aguda de portador de hepatite B"
"B171","Hepatite aguda C"
"B172","Hepatite aguda E"
"B178","Outras hepatites virais agudas especificadas"
"B180","Hepatite viral crônica B com agente delta"
"B181","Hepatite crônica viral B sem agente delta"
"B182","Hepatite viral crônica C"
"B188","Outras hepatites crônicas virais"
"B189","Hepatite viral crônica não especificada"
"B190","Hepatite viral, não especificada, com coma"
"B199","Hepatite viral, não especificada, sem coma"
"B200","Doença pelo HIV resultando em infecções micobacterianas"
"B201","Doença pelo HIV resultando em outras infecções bacterianas"
"B202","Doença pelo HIV resultando em doença citomegálica"
"B203","Doença pelo HIV resultando em outras infecções virais"
"B204","Doença pelo HIV resultando em candidíase"
"B205","Doença pelo HIV resultando em outras micoses"
"B206","Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii"
"B207","Doença pelo HIV resultando em infecções múltiplas"
"B208","Doença pelo HIV resultando em outras doenças infecciosas e parasitárias"
"B209","Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada"
"B210","Doença pelo HIV resultando em sarcoma de kaposi"
"B211","Doença pelo HIV resultando em linfoma de burkitt"
"B212","Doença pelo HIV resultando em outros tipos de linfoma não-hodgkin"
"B213","Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linf., hematopoét. e correlato"
"B217","Doença pelo HIV resultando em múltiplas neoplasias malignas"
"B218","Doença pelo HIV resultando em outras neoplasias malignas"
"B219","Doença pelo HIV resultando em neoplasia maligna não especificada"
"B220","Doença pelo HIV resultando em encefalopatia"
"B221","Doença pelo HIV resultando em pneumonite intersticial linfática"
"B222","Doença pelo HIV resultando em síndrome de emaciação"
"B227","Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte"
"B230","Síndrome de infecção aguda pelo hiv"
"B231","Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)"
"B232","Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificada em out. parte"
"B238","Doença pelo HIV resultando em outra afecções especificadas"
"B24","Doença pelo vírus da imunodeficiência humana [HIV] não especificada"
"B250","Pneumonite por citomegalovírus"
"B251","Hepatite por citomegalovírus"
"B252","Pancreatite por citomegalovírus"
"B258","Outras doenças por citomegalovírus"
"B259","Doença não especificada por citomegalovírus"
"B260","Orquite por caxumba [parotidite epidêmica]"
"B261","Meningite por caxumba [parotidite epidêmica]"
"B262","Encefalite por caxumba [parotidite epidêmica]"
"B263","Pancreatite por caxumba [parotidite epidêmica]"
"B268","Caxumba [parotidite epidêmica] com outras complicações"
"B269","Caxumba [parotidite epidêmica] sem complicações"
"B270","Mononucleose pelo vírus herpes gama"
"B271","Mononucleose por citomegalovírus"
"B278","Outras mononucleoses infecciosas"
"B279","Mononucleose infecciosa não especificada"
"B300","Ceratoconjuntivite devida a adenovírus"
"B301","Conjuntivite devida a adenovírus"
"B302","Faringoconjuntivite viral"
"B303","Conjuntivite hemorrágica aguda endêmica (por enterovírus)"
"B308","Outras conjuntivites virais"
"B309","Conjuntivite viral não especificada"
"B330","Mialgia epidêmica"
"B331","Doença de ross river"
"B332","Cardite viral"
"B333","Infecção por retrovírus não classificada em outra parte"
"B334","Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]"
"B338","Outras doenças especificadas por vírus"
"B340","Infecção por adenovírus de localização não especificada"
"B341","Infecção por enterovírus de localização não especificada"
"B342","Infecção por coronavírus de localização não especificada"
"B343","Infecção por parvovírus de localização não especificada"
"B344","Infecção por papovavírus de localização não especificada"
"B348","Outras infecções por vírus de localização não especificada"
"B349","Infecção viral não especificada"
"B350","Tinha da barba e do couro cabeludo"
"B351","Tinha das unhas"
"B352","Tinha da mão"
"B353","Tinha dos pés"
"B354","Tinha do corpo"
"B355","Tinha imbricada"
"B356","Tinea Cruris"
"B358","Outras dermatofitoses"
"B359","Dermatofitose não especificada"
"B360","Pitiríase versicolor"
"B361","Tinha negra"
"B362","Piedra branca"
"B363","Piedra negra"
"B368","Outras micoses superficiais especificadas"
"B369","Micose superficial não especificada"
"B370","Estomatite por candida"
"B371","Candidíase pulmonar"
"B372","Candidíase da pele e das unhas"
"B373","Candidíase da vulva e da vagina"
"B374","Candidíase de outras localizações urogenitais"
"B375","Meningite por Candida"
"B376","Endocardite por Candida"
"B377","Septicemia por candida"
"B378","Candidíase de outras localizações"
"B379","Candidíase não especificada"
"B380","Coccidioidomicose pulmonar aguda"
"B381","Coccidioidomicose pulmonar crônica"
"B382","Coccidioidomicose pulmonar não especificada"
"B383","Coccidioidomicose cutânea"
"B384","Meningite por coccidioidomicose"
"B387","Coccidioidomicose disseminada"
"B388","Outras formas de coccidioidomicose"
"B389","Coccidioidomicose não especificada"
"B390","Histoplasmose pulmonar aguda por histoplasma capsulatum"
"B391","Histoplasmose pulmonar crônica por histoplasma capsulatum"
"B392","Histoplasmose pulmonar não especificada por histoplasma capsulatum"
"B393","Histoplasmose disseminada por histoplasma capsulatum"
"B394","Histoplasmose não especificada por histoplasma capsulatum"
"B395","Histoplasmose por histoplasma duboisii"
"B399","Histoplasmose não especificada"
"B400","Blastomicose pulmonar aguda"
"B401","Blastomicose pulmonar crônica"
"B402","Blastomicose pulmonar não especificada"
"B403","Blastomicose cutânea"
"B407","Blastomicose disseminada"
"B408","Outras formas de blastomicose"
"B409","Blastomicose não especificada"
"B410","Paracoccidioidomicose pulmonar"
"B417","Paracoccidioidomicose disseminada"
"B418","Outras formas de paracoccidioidomicose"
"B419","Paracoccidioidomicose não especificada"
"B420","Esporotricose pulmonar"
"B421","Esporotricose linfocutânea"
"B427","Esporotricose disseminada"
"B428","Outras formas de esporotricose"
"B429","Esporotricose não especificada"
"B430","Cromomicose cutânea"
"B431","Abscesso cerebral feomicótico"
"B432","Abscesso e cisto feomicótico subcutâneos"
"B438","Outras formas de cromomicose"
"B439","Cromomicose não especificada"
"B440","Aspergilose pulmonar invasiva"
"B441","Outras aspergiloses pulmonares"
"B442","Aspergilose amigdaliana"
"B447","Aspergilose disseminada"
"B448","Outras formas de aspergilose"
"B449","Aspergilose não especificada"
"B450","Criptococose pulmonar"
"B451","Criptococose cerebral"
"B452","Criptococose cutânea"
"B453","Criptococose óssea"
"B457","Criptococose disseminada"
"B458","Outras formas de criptococose"
"B459","Criptococose não especificada"
"B460","Mucormicose pulmonar"
"B461","Mucormicose rinocerebral"
"B462","Mucormicose gastrointestinal"
"B463","Mucormicose cutânea"
"B464","Mucormicose disseminada"
"B465","Mucormicose não especificada"
"B468","Outras zigomicoses"
"B469","Zigomicose não especificada"
"B470","Eumicetoma"
"B471","Actinomicetoma"
"B479","Micetoma não especificado"
"B480","Lobomicose"
"B481","Rinosporidiose"
"B482","Alesqueriose"
"B483","Geotricose"
"B484","Penicilose"
"B487","Micoses oportunistas"
"B488","Outras micoses especificadas"
"B49","Micose não especificada"
"B500","Malária por Plasmodium Falciparum com complicações cerebrais"
"B508","Outras formas graves e complicadas de malária por Plasmodium falciparum"
"B509","Malária não especificada por plasmodium falciparum"
"B510","Malária por Plasmodium Vivax com rotura do baço"
"B518","Malária por Plasmodium Vivax com outras complicações"
"B519","Malária por Plasmodium Vivax sem complicações"
"B520","Malária por Plasmodium Malariae com nefropatia"
"B528","Malária por Plasmodium Malariae com outras complicações"
"B529","Malária por Plasmodium Malariae sem complicações"
"B530","Malária por Plasmodium Ovale"
"B531","Malária por plasmódios de macacos"
"B538","Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte"
"B54","Malária não especificada"
"B550","Leishmaniose visceral"
"B551","Leishmaniose cutânea"
"B552","Leishmaniose cutâneo-mucosa"
"B559","Leishmaniose não especificada"
"B560","Tripanossomíase por Trypanosoma Gambiense"
"B561","Tripanossomíase por Trypanosoma Rhodesiense"
"B569","Tripanossomíase africana não especificada"
"B570","Forma aguda da doença de Chagas, com comprometimento cardíaco"
"B571","Forma aguda da doença de chagas, sem comprometimento cardíaco"
"B572","Doença de Chagas (crônica) com comprometimento cardíaco"
"B573","Doença de Chagas (crônica) com comprometimento do aparelho digestivo"
"B574","Doença de Chagas (crônica) com comprometimento do sistema nervoso"
"B575","Doença de Chagas (crônica) com comprometimento de outros órgãos"
"B580","Oculopatia por toxoplasma"
"B581","Hepatite por Toxoplasma"
"B582","Meningoencefalite por Toxoplasma"
"B583","Toxoplasmose pulmonar"
"B588","Toxoplasmose com comprometimento de outros órgãos"
"B589","Toxoplasmose não especificada"
"B59","Pneumocistose"
"B600","Babesiose"
"B601","Acantamebíase"
"B602","Naegleríase"
"B608","Outras doenças especificadas devidas a protozoários"
"B64","Doença não especificada devida a protozoários"
"B650","Esquistossomose devida ao Schistosoma Haematobium [esquistossomose urinária]"
"B651","Esquistossomose devida ao Schistosoma Mansoni [esquistossomose intestinal]"
"B652","Esquistossomose devida ao Schistosoma Japonicum"
"B653","Dermatite por cercárias"
"B658","Outras esquistossomoses"
"B659","Esquistossomose não especificada"
"B660","Opistorquíase"
"B661","Clonorquíase"
"B662","Dicrocelíase"
"B663","Fasciolíase"
"B664","Paragonimíase"
"B665","Fasciolopsíase"
"B668","Outras infestações por trematódeos especificados"
"B669","Infecção não especificada por trematódeo"
